Zip	City	State	Abbr.	County	Long	Lat	
50002	Adair	Iowa	IA	Adair	-94.6444	41.5137	
74330	Adair	Oklahoma	OK	Mayes	-95.2732	36.4115	
30103	Adairsville	Georgia	GA	Bartow	-84.9176	34.3595	
42202	Adairville	Kentucky	KY	Logan	-86.8585	36.6914	
99546	Adak	Alaska	AK	Aleutians West (CA)	-176.787	54.2402	
5640	Adamant	Vermont	VT	Washington	-72.5046	44.3575	
41201	Adams	Kentucky	KY	Lawrence	-82.7447	38.0741	
1220	Adams	Massachusetts	MA	Berkshire	-73.1172	42.6223	
55909	Adams	Minnesota	MN	Mower	-92.7305	43.5591	
68301	Adams	Nebraska	NE	Gage	-96.5396	40.4576	
13605	Adams	New York	NY	Jefferson	-76.049	43.8062	
58210	Adams	North Dakota	ND	Walsh	-98.0867	48.4223	
73901	Adams	Oklahoma	OK	Texas	-101.078	36.755	
97810	Adams	Oregon	OR	Umatilla	-118.618	45.7497	
37010	Adams	Tennessee	TN	Robertson	-87.1226	36.5582	
53910	Adams	Wisconsin	WI	Adams	-89.8219	43.8967	
14410	Adams Basin	New York	NY	Monroe	-77.8559	43.1953	
13606	Adams Center	New York	NY	Jefferson	-76.0042	43.8631	
29426	Adams Run	South Carolina	SC	Charleston	-80.3288	32.779	
15611	Adamsburg	Pennsylvania	PA	Westmoreland	-79.6565	40.3126	
21710	Adamstown	Maryland	MD	Frederick	-77.4552	39.291	
19501	Adamstown	Pennsylvania	PA	Lancaster	-76.0577	40.2423	
35005	Adamsville	Alabama	AL	Jefferson	-86.9597	33.5884	
43802	Adamsville	Ohio	OH	Muskingum	-81.8718	40.0793	
16110	Adamsville	Pennsylvania	PA	Crawford	-80.3765	41.5067	
2801	Adamsville	Rhode Island	RI	Newport	-71.2841	41.5301	
38310	Adamsville	Tennessee	TN	McNairy	-88.4134	35.2556	
62214	Addieville	Illinois	IL	Washington	-89.5794	38.3815	
73520	Addington	Oklahoma	OK	Jefferson	-97.8922	34.2459	
70710	Addis	Louisiana	LA	West Baton Rouge	-91.2613	30.3557	
35540	Addison	Alabama	AL	Winston	-87.1948	34.2056	
60114	Addison	Illinois	IL	DuPage	-88.0887	41.8397	
60101	Addison	Illinois	IL	DuPage	-88.0054	41.9335	
4606	Addison	Maine	ME	Washington	-67.7146	44.583	
49220	Addison	Michigan	MI	Lenawee	-84.3122	42.0036	
14801	Addison	New York	NY	Steuben	-77.266	42.0982	
15411	Addison	Pennsylvania	PA	Somerset	-79.3454	39.7476	
75001	Addison	Texas	TX	Dallas	-96.8385	32.96	
99101	Addy	Washington	WA	Stevens	-117.958	48.3364	
45001	Addyston	Ohio	OH	Hamilton	-84.7096	39.1374	
31620	Adel	Georgia	GA	Cook	-83.4213	31.1251	
50003	Adel	Iowa	IA	Dallas	-94.038	41.6221	
97620	Adel	Oregon	OR	Lake	-119.883	42.1487	
92301	Adelanto	California	CA	San Bernardino	-117.424	34.5841	
53001	Adell	Wisconsin	WI	Sheboygan	-88.0254	43.6151	
43101	Adelphi	Ohio	OH	Ross	-82.7547	39.4665	
7710	Adelphia	New Jersey	NJ	Monmouth	-74.2493	40.3027	
43901	Adena	Ohio	OH	Jefferson	-80.8815	40.2126	
35006	Adger	Alabama	AL	Jefferson	-87.1675	33.4343	
96006	Adin	California	CA	Modoc	-120.943	41.2175	
12808	Adirondack	New York	NY	Warren	-73.7825	43.7165	
78101	Adkins	Texas	TX	Bexar	-98.265	29.3805	
66830	Admire	Kansas	KS	Lyon	-96.1017	38.6393	
98522	Adna	Washington	WA	Lewis	-123.298	46.5713	
55701	Adolph	Minnesota	MN	St. Louis	-92.4428	47.6404	
42120	Adolphus	Kentucky	KY	Allen	-86.2636	36.6775	
72001	Adona	Arkansas	AR	Perry	-92.9033	35.047	
31002	Adrian	Georgia	GA	Emanuel	-82.5695	32.5635	
62310	Adrian	Illinois	IL	Hancock	-91.2058	40.4161	
49221	Adrian	Michigan	MI	Lenawee	-84.0446	41.9005	
56110	Adrian	Minnesota	MN	Nobles	-95.9273	43.6197	
64720	Adrian	Missouri	MO	Bates	-94.3683	38.4125	
44801	Adrian	Ohio	OH	Seneca	-83.3654	41.0907	
97901	Adrian	Oregon	OR	Malheur	-117.06	43.6537	
16210	Adrian	Pennsylvania	PA	Armstrong	-79.5074	40.9049	
79001	Adrian	Texas	TX	Oldham	-102.697	35.2758	
26210	Adrian	West Virginia	WV	Upshur	-80.2269	38.8993	
46102	Advance	Indiana	IN	Boone	-86.6198	39.9956	
63730	Advance	Missouri	MO	Stoddard	-89.9106	37.0922	
27006	Advance	North Carolina	NC	Davie	-80.4463	36.0065	
25231	Advent	West Virginia	WV	Jackson	-81.7066	38.8249	
50830	Afton	Iowa	IA	Union	-94.194	41.0401	
49705	Afton	Michigan	MI	Cheboygan	-84.4695	45.3637	
55001	Afton	Minnesota	MN	Washington	-92.8234	44.8696	
13730	Afton	New York	NY	Chenango	-75.5366	42.2417	
74331	Afton	Oklahoma	OK	Ottawa	-94.9432	36.6296	
37616	Afton	Tennessee	TN	Greene	-82.7476	36.2265	
79220	Afton	Texas	TX	Dickens	-100.802	33.7718	
22920	Afton	Virginia	VA	Nelson	-78.841	37.9626	
53501	Afton	Wisconsin	WI	Rock	-89.0704	42.6055	
83110	Afton	Wyoming	WY	Lincoln	-110.942	42.7128	
57520	Agar	South Dakota	SD	Sully	-100.071	44.8393	
80101	Agate	Colorado	CO	Elbert	-103.985	39.4203	
58310	Agate	North Dakota	ND	Rolette	-99.7727	48.7709	
1001	Agawam	Massachusetts	MA	Hampden	-72.6227	42.0702	
52530	Agency	Iowa	IA	Wapello	-92.3162	40.9957	
64401	Agency	Missouri	MO	Buchanan	-94.717	39.6662	
66930	Agenda	Kansas	KS	Republic	-97.4465	39.7044	
40801	Ages Brookside	Kentucky	KY	Harlan	-83.2879	36.8654	
97406	Agness	Oregon	OR	Curry	-124.065	42.5748	
91376	Agoura Hills	California	CA	Los Angeles	-118.299	33.7866	
91301	Agoura Hills	California	CA	Los Angeles	-118.757	34.1227	
91375	Agoura Hills	California	CA		-118.737	34.1429	
67621	Agra	Kansas	KS	Phillips	-99.1255	39.8037	
74824	Agra	Oklahoma	OK	Lincoln	-96.8738	35.909	
78330	Agua Dulce	Texas	TX	Nueces	-97.8551	27.781	
92536	Aguanga	California	CA	Riverside	-116.8	33.4473	
85320	Aguila	Arizona	AZ	Maricopa	-113.213	33.9186	
81020	Aguilar	Colorado	CO	Las Animas	-104.677	37.3933	
56430	Ah Gwah Ching	Minnesota	MN	Cass	-94.6419	46.8623	
49901	Ahmeek	Michigan	MI	Keweenaw	-88.3897	47.2933	
27910	Ahoskie	North Carolina	NC	Hertford	-76.9966	36.2957	
83520	Ahsahka	Idaho	ID	Clearwater	-116.323	46.5394	
93601	Ahwahnee	California	CA	Madera	-119.723	37.4076	
96701	Aiea	Hawaii	HI	Honolulu	-157.933	21.3908	
29803	Aiken	South Carolina	SC	Aiken	-81.6951	33.5059	
29804	Aiken	South Carolina	SC	Aiken	-81.5999	33.5377	
29808	Aiken	South Carolina	SC	Aiken	-81.5999	33.5377	
29801	Aiken	South Carolina	SC	Aiken	-81.7194	33.553	
29805	Aiken	South Carolina	SC	Aiken	-81.6465	33.6993	
29802	Aiken	South Carolina	SC	Aiken	-81.5907	33.7235	
79221	Aiken	Texas	TX	Floyd	-101.303	34.0715	
30410	Ailey	Georgia	GA	Montgomery	-82.4762	32.2143	
71401	Aimwell	Louisiana	LA	Catahoula	-91.9925	31.7619	
52201	Ainsworth	Iowa	IA	Washington	-91.5472	41.3202	
69210	Ainsworth	Nebraska	NE	Brown	-99.8615	42.5403	
17302	Airville	Pennsylvania	PA	York	-76.4012	39.821	
99001	Airway Heights	Washington	WA	Spokane	-117.592	47.6438	
56431	Aitkin	Minnesota	MN	Aitkin	-93.6454	46.4799	
85321	Ajo	Arizona	AZ	Pima	-112.654	32.2295	
57420	Akaska	South Dakota	SD	Walworth	-100.119	45.3324	
56433	Akeley	Minnesota	MN	Hubbard	-94.7234	47.001	
70421	Akers	Louisiana	LA	Tangipahoa	-90.4053	30.6124	
99551	Akiachak	Alaska	AK	Bethel (CA)	-163.119	60.3147	
99552	Akiak	Alaska	AK	Bethel (CA)	-163.119	60.3147	
62805	Akin	Illinois	IL	Franklin	-88.9417	37.9943	
35441	Akron	Alabama	AL	Hale	-87.7219	32.8553	
80720	Akron	Colorado	CO	Washington	-103.226	40.1803	
46910	Akron	Indiana	IN	Fulton	-86.0395	41.0389	
51001	Akron	Iowa	IA	Plymouth	-96.5224	42.8354	
48701	Akron	Michigan	MI	Tuscola	-83.5393	43.5844	
14001	Akron	New York	NY	Erie	-78.5084	43.0249	
44319	Akron	Ohio	OH	Summit	-81.5347	40.9791	
44315	Akron	Ohio	OH	Summit	-81.4632	41.028	
44312	Akron	Ohio	OH	Summit	-81.4385	41.0334	
44314	Akron	Ohio	OH	Summit	-81.5598	41.0408	
44301	Akron	Ohio	OH	Summit	-81.52	41.0449	
44306	Akron	Ohio	OH	Summit	-81.4916	41.0479	
44322	Akron	Ohio	OH	Summit	-81.581	41.0491	
44317	Akron	Ohio	OH	Summit	-81.5291	41.0525	
44311	Akron	Ohio	OH	Summit	-81.52	41.0638	
44329	Akron	Ohio	OH		-81.5203	41.0655	
44331	Akron	Ohio	OH		-81.5203	41.0655	
44316	Akron	Ohio	OH	Summit	-81.4847	41.0675	
44307	Akron	Ohio	OH	Summit	-81.5488	41.0695	
44397	Akron	Ohio	OH	Summit	-81.5256	41.0716	
44328	Akron	Ohio	OH	Summit	-81.5206	41.076	
44305	Akron	Ohio	OH	Summit	-81.4644	41.076	
44325	Akron	Ohio	OH	Summit	-81.5103	41.0764	
44308	Akron	Ohio	OH	Summit	-81.5194	41.0796	
44304	Akron	Ohio	OH	Summit	-81.5085	41.0808	
44320	Akron	Ohio	OH	Summit	-81.5674	41.0835	
44302	Akron	Ohio	OH	Summit	-81.542	41.092	
44309	Akron	Ohio	OH	Summit	-81.5123	41.0962	
44321	Akron	Ohio	OH	Summit	-81.6443	41.1002	
44303	Akron	Ohio	OH	Summit	-81.5386	41.1025	
44310	Akron	Ohio	OH	Summit	-81.5006	41.1075	
44313	Akron	Ohio	OH	Summit	-81.5685	41.122	
44334	Akron	Ohio	OH	Summit	-81.54	41.1287	
44372	Akron	Ohio	OH	Summit	-81.54	41.1287	
44393	Akron	Ohio	OH	Summit	-81.54	41.1287	
44396	Akron	Ohio	OH	Summit	-81.54	41.1287	
44398	Akron	Ohio	OH	Summit	-81.54	41.1287	
44399	Akron	Ohio	OH	Summit	-81.54	41.1287	
44333	Akron	Ohio	OH	Summit	-81.6314	41.1552	
44326	Akron	Ohio	OH	Summit	-81.4727	41.1727	
17501	Akron	Pennsylvania	PA	Lancaster	-76.2042	40.1573	
99553	Akutan	Alaska	AK	Aleutians East	-165.785	54.143	
14003	Alabama	New York	NY	Genesee	-78.1848	42.9981	
35007	Alabaster	Alabama	AL	Shelby	-86.7944	33.1934	
32616	Alachua	Florida	FL	Alachua	-82.496	29.792	
32615	Alachua	Florida	FL	Alachua	-82.472	29.8135	
82710	Aladdin	Wyoming	WY	Crook	-104.193	44.7473	
99554	Alakanuk	Alaska	AK	Wade Hampton (CA)	-164.648	62.6944	
27201	Alamance	North Carolina	NC	Alamance	-79.4856	36.0318	
94502	Alameda	California	CA	Alameda	-122.243	37.7351	
94501	Alameda	California	CA	Alameda	-122.265	37.7706	
94507	Alamo	California	CA	Contra Costa	-122.023	37.8537	
30411	Alamo	Georgia	GA	Wheeler	-82.7944	32.133	
47916	Alamo	Indiana	IN	Montgomery	-87.0554	39.9836	
89001	Alamo	Nevada	NV	Lincoln	-115.308	37.3259	
58830	Alamo	North Dakota	ND	Williams	-103.473	48.5387	
38001	Alamo	Tennessee	TN	Crockett	-89.1765	35.8017	
78516	Alamo	Texas	TX	Hidalgo	-98.1164	26.1906	
88311	Alamogordo	New Mexico	NM	Otero	-105.613	32.6955	
88310	Alamogordo	New Mexico	NM	Otero	-105.949	32.8932	
81101	Alamosa	Colorado	CO	Alamosa	-105.879	37.4703	
81102	Alamosa	Colorado	CO	Alamosa	-105.882	37.476	
79002	Alanreed	Texas	TX	Gray	-100.759	35.2273	
49706	Alanson	Michigan	MI	Emmet	-84.7924	45.4405	
31622	Alapaha	Georgia	GA	Berrien	-83.2132	31.394	
49611	Alba	Michigan	MI	Antrim	-84.9745	44.9737	
64830	Alba	Missouri	MO	Jasper	-94.418	37.2367	
16910	Alba	Pennsylvania	PA	Bradford	-76.5213	41.772	
75410	Alba	Texas	TX	Rains	-95.5971	32.7652	
94706	Albany	California	CA	Alameda	-122.295	37.89	
31721	Albany	Georgia	GA	Dougherty	-84.3087	31.5105	
31703	Albany	Georgia	GA	Dougherty	-84.2196	31.5431	
31705	Albany	Georgia	GA	Dougherty	-84.0783	31.5464	
31704	Albany	Georgia	GA	Dougherty	-84.0612	31.55	
31706	Albany	Georgia	GA	Dougherty	-84.1765	31.5593	
31701	Albany	Georgia	GA	Dougherty	-84.1619	31.5678	
31707	Albany	Georgia	GA	Dougherty	-84.2118	31.5789	
31708	Albany	Georgia	GA	Dougherty	-84.1324	31.5911	
31702	Albany	Georgia	GA	Dougherty	-84.1948	31.5948	
61230	Albany	Illinois	IL	Whiteside	-90.2081	41.7659	
47320	Albany	Indiana	IN	Delaware	-85.258	40.292	
42602	Albany	Kentucky	KY	Clinton	-85.1407	36.6857	
70711	Albany	Louisiana	LA	Livingston	-90.5964	30.5149	
56307	Albany	Minnesota	MN	Stearns	-94.574	45.6151	
64402	Albany	Missouri	MO	Gentry	-94.327	40.2513	
12201	Albany	New York	NY	Albany	-73.9708	42.6149	
12214	Albany	New York	NY	Albany	-73.9708	42.6149	
12220	Albany	New York	NY	Albany	-73.9708	42.6149	
12223	Albany	New York	NY	Albany	-73.9708	42.6149	
12224	Albany	New York	NY	Albany	-73.9708	42.6149	
12225	Albany	New York	NY	Albany	-73.9708	42.6149	
12226	Albany	New York	NY	Albany	-73.9708	42.6149	
12227	Albany	New York	NY	Albany	-73.9708	42.6149	
12228	Albany	New York	NY	Albany	-73.9708	42.6149	
12229	Albany	New York	NY	Albany	-73.9708	42.6149	
12230	Albany	New York	NY	Albany	-73.9708	42.6149	
12231	Albany	New York	NY	Albany	-73.9708	42.6149	
12232	Albany	New York	NY	Albany	-73.9708	42.6149	
12233	Albany	New York	NY	Albany	-73.9708	42.6149	
12234	Albany	New York	NY	Albany	-73.9708	42.6149	
12235	Albany	New York	NY	Albany	-73.9708	42.6149	
12236	Albany	New York	NY	Albany	-73.9708	42.6149	
12237	Albany	New York	NY	Albany	-73.9708	42.6149	
12238	Albany	New York	NY	Albany	-73.9708	42.6149	
12239	Albany	New York	NY	Albany	-73.9708	42.6149	
12240	Albany	New York	NY	Albany	-73.9708	42.6149	
12241	Albany	New York	NY	Albany	-73.9708	42.6149	
12242	Albany	New York	NY	Albany	-73.9708	42.6149	
12243	Albany	New York	NY	Albany	-73.9708	42.6149	
12244	Albany	New York	NY	Albany	-73.9708	42.6149	
12245	Albany	New York	NY	Albany	-73.9708	42.6149	
12247	Albany	New York	NY	Albany	-73.9708	42.6149	
12248	Albany	New York	NY	Albany	-73.9708	42.6149	
12249	Albany	New York	NY	Albany	-73.9708	42.6149	
12250	Albany	New York	NY	Albany	-73.9708	42.6149	
12252	Albany	New York	NY	Albany	-73.9708	42.6149	
12255	Albany	New York	NY	Albany	-73.9708	42.6149	
12256	Albany	New York	NY	Albany	-73.9708	42.6149	
12257	Albany	New York	NY	Albany	-73.9708	42.6149	
12260	Albany	New York	NY	Albany	-73.9708	42.6149	
12261	Albany	New York	NY	Albany	-73.9708	42.6149	
12262	Albany	New York	NY	Albany	-73.9708	42.6149	
12288	Albany	New York	NY	Albany	-73.9708	42.6149	
12202	Albany	New York	NY	Albany	-73.7641	42.6413	
12209	Albany	New York	NY	Albany	-73.7854	42.6417	
12246	Albany	New York	NY	Albany	-73.7503	42.6471	
12208	Albany	New York	NY	Albany	-73.7964	42.656	
12207	Albany	New York	NY	Albany	-73.7508	42.656	
12210	Albany	New York	NY	Albany	-73.7605	42.6568	
12206	Albany	New York	NY	Albany	-73.7744	42.6683	
12204	Albany	New York	NY	Albany	-73.7354	42.6847	
12222	Albany	New York	NY	Albany	-73.8253	42.6853	
12203	Albany	New York	NY	Albany	-73.8575	42.7003	
12211	Albany	New York	NY	Albany	-73.7739	42.713	
12212	Albany	New York	NY	Albany	-73.8104	42.7168	
12205	Albany	New York	NY	Albany	-73.8207	42.7198	
45710	Albany	Ohio	OH	Athens	-82.2177	39.2097	
74721	Albany	Oklahoma	OK	Bryan	-96.1918	33.922	
97322	Albany	Oregon	OR	Linn	-123.057	44.626	
97321	Albany	Oregon	OR	Linn	-123.133	44.652	
76430	Albany	Texas	TX	Shackelford	-99.3196	32.719	
5820	Albany	Vermont	VT	Orleans	-72.3646	44.7417	
53502	Albany	Wisconsin	WI	Green	-89.4357	42.7155	
28002	Albemarle	North Carolina	NC	Stanly	-80.1082	35.2642	
28001	Albemarle	North Carolina	NC	Stanly	-80.2044	35.3573	
62215	Albers	Illinois	IL	Clinton	-89.6202	38.532	
67511	Albert	Kansas	KS	Barton	-98.9134	38.4205	
73001	Albert	Oklahoma	OK	Caddo	-98.3574	35.2032	
50510	Albert City	Iowa	IA	Buena Vista	-94.9824	42.7784	
56007	Albert Lea	Minnesota	MN	Freeborn	-93.3707	43.6537	
36720	Alberta	Alabama	AL	Wilcox	-87.3468	32.1585	
56207	Alberta	Minnesota	MN	Stevens	-96.0498	45.5571	
23821	Alberta	Virginia	VA	Brunswick	-77.9055	36.8806	
59820	Alberton	Montana	MT	Mineral	-114.492	46.9806	
11507	Albertson	New York	NY	Nassau	-73.6514	40.7703	
28508	Albertson	North Carolina	NC	Duplin	-77.8515	35.1176	
35950	Albertville	Alabama	AL	Marshall	-86.2064	34.2739	
35951	Albertville	Alabama	AL	Marshall	-86.1935	34.3223	
55301	Albertville	Minnesota	MN	Wright	-93.6469	45.2534	
52531	Albia	Iowa	IA	Monroe	-92.7946	41.0287	
82050	Albin	Wyoming	WY	Laramie	-104.15	41.4342	
95410	Albion	California	CA	Mendocino	-123.72	39.2131	
83311	Albion	Idaho	ID	Cassia	-113.557	42.3896	
62806	Albion	Illinois	IL	Edwards	-88.0636	38.374	
46701	Albion	Indiana	IN	Noble	-85.4142	41.3482	
50005	Albion	Iowa	IA	Marshall	-92.9882	42.1143	
4910	Albion	Maine	ME	Kennebec	-69.4683	44.5355	
49224	Albion	Michigan	MI	Calhoun	-84.7561	42.2581	
68620	Albion	Nebraska	NE	Boone	-97.9991	41.7049	
14411	Albion	New York	NY	Orleans	-78.2068	43.2398	
74521	Albion	Oklahoma	OK	Pushmataha	-95.0924	34.6516	
16401	Albion	Pennsylvania	PA	Erie	-80.3111	41.8947	
16475	Albion	Pennsylvania	PA	Erie	-80.0649	42.1827	
2802	Albion	Rhode Island	RI	Providence	-71.4621	41.9541	
99102	Albion	Washington	WA	Whitman	-117.25	46.792	
55702	Alborn	Minnesota	MN	St. Louis	-92.5579	46.9782	
26519	Albright	West Virginia	WV	Preston	-79.6358	39.5701	
18210	Albrightsville	Pennsylvania	PA	Carbon	-75.5842	40.9748	
87103	Albuquerque	New Mexico	NM	Bernalillo	-106.673	35.0443	
87119	Albuquerque	New Mexico	NM	Bernalillo	-106.673	35.0443	
87125	Albuquerque	New Mexico	NM	Bernalillo	-106.673	35.0443	
87131	Albuquerque	New Mexico	NM	Bernalillo	-106.673	35.0443	
87140	Albuquerque	New Mexico	NM	Bernalillo	-106.673	35.0443	
87153	Albuquerque	New Mexico	NM	Bernalillo	-106.673	35.0443	
87154	Albuquerque	New Mexico	NM	Bernalillo	-106.673	35.0443	
87158	Albuquerque	New Mexico	NM	Bernalillo	-106.673	35.0443	
87176	Albuquerque	New Mexico	NM	Bernalillo	-106.673	35.0443	
87180	Albuquerque	New Mexico	NM	Bernalillo	-106.673	35.0443	
87181	Albuquerque	New Mexico	NM	Bernalillo	-106.673	35.0443	
87184	Albuquerque	New Mexico	NM	Bernalillo	-106.673	35.0443	
87185	Albuquerque	New Mexico	NM	Bernalillo	-106.673	35.0443	
87187	Albuquerque	New Mexico	NM	Bernalillo	-106.673	35.0443	
87190	Albuquerque	New Mexico	NM	Bernalillo	-106.673	35.0443	
87191	Albuquerque	New Mexico	NM	Bernalillo	-106.673	35.0443	
87192	Albuquerque	New Mexico	NM	Bernalillo	-106.673	35.0443	
87193	Albuquerque	New Mexico	NM	Bernalillo	-106.673	35.0443	
87194	Albuquerque	New Mexico	NM	Bernalillo	-106.673	35.0443	
87195	Albuquerque	New Mexico	NM	Bernalillo	-106.673	35.0443	
87196	Albuquerque	New Mexico	NM	Bernalillo	-106.673	35.0443	
87198	Albuquerque	New Mexico	NM	Bernalillo	-106.673	35.0443	
87199	Albuquerque	New Mexico	NM	Bernalillo	-106.673	35.0443	
87201	Albuquerque	New Mexico	NM	Bernalillo	-106.673	35.0443	
87105	Albuquerque	New Mexico	NM	Bernalillo	-106.689	35.0448	
87121	Albuquerque	New Mexico	NM	Bernalillo	-106.727	35.0512	
87115	Albuquerque	New Mexico	NM	Bernalillo	-106.546	35.0549	
87118	Albuquerque	New Mexico	NM	Bernalillo	-106.596	35.0554	
87116	Albuquerque	New Mexico	NM	Bernalillo	-106.551	35.0561	
